province,city,new_customer_count,orders,order_value,major_city,
Iowa,West Des Moines,9,14,998,,
Rhode Island,Cranston,9,13,3298.1,,
Manitoba,Winnipeg,10,13,2701.5,,
Pennsylvania,Elizabethtown,3,13,2642.63,,
New York,New york,12,13,2627.79,NYC,
District of Columbia,WASHINGTON,11,13,2601.01,,
Washington,Mukilteo,6,13,2581.77,,
New York,Pittsford,7,13,2381.43,,
New Hampshire,Hampton,6,13,2296.44,,
Pennsylvania,Villanova,4,13,2262.58,,
Vermont,Hyde Park,3,13,2210.92,,
California,Hillsborough,9,13,2158.23,SF,
Texas,Georgetown,9,13,2075.34,,
California,Burlingame,7,13,2032.55,SF,
California,Morgan Hill,11,13,1977.23,SF,
Minnesota,Wayzata,8,13,1932.95,,
California,South San Francisco,10,13,1908.66,SF,
California,Ontario,5,13,1906.12,LA,
New York,Tarrytown,8,13,1884.59,NYC,
California,Van Nuys,9,13,1876.04,LA,
California,Salinas,10,13,1864.18,,
California,Downey,10,13,1859.64,LA,
Florida,Atlantic Beach,8,13,1833.04,,
New York,Hudson,9,13,1829.31,,
California,Palm Desert,8,13,1804.91,,
Alabama,Tuscaloosa,5,13,1804.29,,
Arizona,Glendale,7,13,1782.5,,
California,Pacific Grove,9,13,1781.5,,
Minnesota,Rochester,8,13,1746.98,,
Florida,Pensacola,10,13,1700.19,,
New York,Saugerties,10,13,1676.25,,
Massachusetts,Concord,8,13,1670.96,,
Missouri,Springfield,10,13,1659.53,,
New Jersey,Metuchen,5,13,1618.28,NYC,
Idaho,Ketchum,7,13,1566.1,,
Hawaii,Waialua,11,13,1553.06,,
Michigan,Farmington Hills,7,13,1551.18,,
California,Benicia,8,13,1525.81,SF,
California,Portola Valley,8,13,1432.41,SF,
Texas,austin,10,13,1403.31,,
Texas,Richmond,7,13,1394.19,,
Illinois,Frankfort,5,13,1390.02,CHI,
Arizona,Prescott,10,13,1341.18,,
Virginia,Williamsburg,5,13,1298.71,,
Illinois,Deerfield,5,13,1254.59,CHI,
Illinois,Lemont,4,13,1059.75,CHI,
Maryland,Chevy Chase,9,13,931.42,,
Florida,Doral,13,13,923.06,,
Pennsylvania,Butler,3,12,11965.4,,
California,Palm Springs,8,12,3267.77,,
New York,Rockville Centre,8,12,3111.68,NYC,
New York,Rye,11,12,2859.13,NYC,
Illinois,Northbrook,8,12,2824.62,CHI,
Quebec,Montréal,8,12,2637.97,,
California,Vacaville,7,12,2609.52,SF,
Maryland,Potomac,6,12,2544.44,,
New York,White Plains,7,12,2536.07,NYC,
Idaho,Eagle,10,12,2422.53,,
California,SAN MATEO,3,12,2412.98,SF,
California,Gardena,11,12,2348.86,LA,
Alabama,Muscle Shoals,3,12,2324.97,,
Connecticut,Wilton,8,12,2304.1,,
New Jersey,Bloomfield,6,12,2243.62,NYC,
California,Granada Hills,9,12,2232.29,LA,
Vermont,Charlotte,9,12,2179.6,,
California,Corte Madera,8,12,2158.68,SF,
Texas,Allen,7,12,2158.37,,
New Jersey,Weehawken,7,12,2067,NYC,
California,Tahoe City,5,12,2029.38,,
Iowa,Cedar Rapids,7,12,1982.58,,
Wisconsin,Wauwatosa,6,12,1940.97,,
Washington,Edmonds,11,12,1934.4,,
Texas,Boerne,7,12,1916.57,,
Virginia,Vienna,10,12,1879.35,,
Colorado,Highlands Ranch,10,12,1832.03,,
California,Tarzana,9,12,1818.22,LA,
Washington,University Place,4,12,1814.39,,
Utah,Moab,8,12,1810.91,,
California,Poway,11,12,1805.1,,
California,San Marino,10,12,1785.37,LA,
California,Coronado,8,12,1772.78,,
Georgia,Duluth,6,12,1765.41,,
New York,Scarsdale,11,12,1718.08,NYC,
New Jersey,Westwood,4,12,1706.51,NYC,
Georgia,Bloomingdale,2,12,1683.67,,
Massachusetts,Brighton,7,12,1651.66,,
Colorado,Telluride,9,12,1633.34,,
California,Palos Verdes Estates,8,12,1621.86,LA,
Texas,Kyle,5,12,1609.01,,
California,Laguna Hills,8,12,1586.83,LA,
California,SANTA CRUZ,3,12,1573.24,SF,
Tennessee,Murfreesboro,6,12,1557.23,,
California,Granite Bay,8,12,1551.97,,
Rhode Island,East Providence,8,12,1537.59,,
Florida,Bradenton,10,12,1524.91,,
Pennsylvania,Greensburg,5,12,1522.54,,
Texas,Spring,10,12,1486.79,,
New York,Southampton,9,12,1485.74,NYC,
Missouri,Ballwin,6,12,1448.24,,
Massachusetts,Hingham,10,12,1440.79,,
Louisiana,NEW ORLEANS,4,12,1435,,
Illinois,Lake Forest,9,12,1413.78,CHI,
Colorado,Basalt,7,12,1402.77,,
New York,Red Hook,6,12,1371.31,,
New York,Albany,8,12,1360.14,,
California,Arcadia,8,12,1356.89,LA,
New Jersey,West Orange,8,12,1349.57,NYC,
Arizona,Peoria,9,12,1296.79,,
California,Norwalk,5,12,1267.92,LA,
California,Oak View,6,12,1264.99,LA,
Hawaii,Haiku,8,12,1251.06,,
South Carolina,Simpsonville,5,12,1245.53,,
California,bolinas,1,12,1154.06,SF,
Massachusetts,SUDBURY,2,12,1112.46,,
Tennessee,Hendersonville,10,12,1040.48,,
California,Alamo,8,11,2980.95,SF,
Pennsylvania,Newtown,6,11,2506.4,,
New York,Queens Village,1,11,2365.58,NYC,
Texas,Leander,8,11,2199.06,,
Washington,Bonney Lake,6,11,2170.06,,
New York,Hastings-on-Hudson,7,11,2127.29,NYC,
New York,Warwick,6,11,2080.38,NYC,
Washington,Kenmore,6,11,1933.16,,
Virginia,McLean,7,11,1883.07,,
Illinois,Glen Ellyn,7,11,1862.68,CHI,
Washington,Burien,6,11,1853.84,,
Pennsylvania,Media,7,11,1803.46,,
Florida,Santa Rosa Beach,9,11,1777.12,,
Illinois,Park Ridge,10,11,1774.98,CHI,
California,Garden Grove,7,11,1765.05,LA,
Washington,Richland,8,11,1725.59,,
Rhode Island,North Kingstown,7,11,1687.18,,
California,Oak Park,6,11,1647.42,LA,
California,Saratoga,8,11,1644.25,SF,
California,Chatsworth,7,11,1643.45,LA,
California,Rocklin,8,11,1627.56,,
Illinois,Hinsdale,8,11,1552.86,CHI,
New Jersey,Franklin Lakes,8,11,1547.88,NYC,
California,Rancho Mission Viejo,5,11,1536.27,LA,
Illinois,Bloomington,7,11,1530.14,,
California,Toluca Lake,7,11,1526.55,LA,
Georgia,Smyrna,9,11,1492.23,,
Massachusetts,Worcester,4,11,1459.21,,
North Carolina,Winston Salem,6,11,1457.35,,
Florida,St. Augustine,8,11,1447.35,,
Pennsylvania,Doylestown,7,11,1417.03,,
California,Westminster,8,11,1403.35,LA,
Idaho,Nampa,5,11,1365.2,,
Pennsylvania,Wayne,8,11,1364.45,,
Minnesota,Roseville,6,11,1362.36,,
California,Eureka,4,11,1321.82,SF,
South Carolina,North Charleston,9,11,1317.81,,
Alabama,Huntsville,10,11,1275.18,,
Texas,Arlington,8,11,1233.01,,
Oklahoma,Broken Arrow,6,11,1217.03,,
Massachusetts,Melrose,8,11,1192.3,,
Hawaii,Hanalei,6,11,1190.57,,
California,SANTA MONICA,10,11,1184.15,LA,
California,Brea,8,11,1181.68,LA,
Florida,Deerfield Beach,6,11,1180.98,,
Ohio,Westerville,4,11,1129.68,,
Oregon,Oregon City,6,11,1129.13,,
Virginia,Chesapeake,8,11,1107.74,,
Florida,miami,9,11,1094.85,,
Massachusetts,Chilmark,4,11,1049.7,,
Florida,Jacksonville Beach,8,11,1028.83,,
California,CARLSBAD,5,11,977.35,LA,
Georgia,Suwanee,8,11,934.08,,
Wisconsin,Waupaca,1,11,916.56,,
Texas,Cypress,5,11,904.75,,
Florida,Lutz,5,11,830.31,,
Arizona,Prescott Valley,3,11,765.52,,
New Jersey,Lavallette,3,11,714.14,NYC,
Hawaii,Lahaina,4,11,654.22,,
California,Montara,6,10,2382.73,SF,
Nevada,las vegas,4,10,2277.99,,
Florida,Windermere,6,10,2181.01,,
Massachusetts,Wellesley,7,10,2165.68,,
Wisconsin,Kohler,2,10,2087.59,,
Virginia,Great Falls,6,10,2041.37,,
Wyoming,Wilson,7,10,1954.71,,
Washington,Point Roberts,6,10,1926.24,,
Florida,Bonita Springs,7,10,1896.94,,
California,GLENDALE,4,10,1890.43,LA,
Washington,Issaquah,9,10,1884.65,,
Connecticut,Madison,6,10,1880.82,,
Ohio,Toledo,8,10,1851.88,,
Washington,Edgewood,3,10,1794.92,,
Oregon,Gresham,8,10,1772.46,,
California,La Cañada Flintridge,7,10,1755.84,LA,
Rhode Island,Westerly,6,10,1752.53,,
Utah,Cottonwood Heights,8,10,1751.5,,
Massachusetts,Natick,8,10,1695.73,,
New York,Bronxville,7,10,1690.82,NYC,
Montana,Whitefish,9,10,1649.39,,
Pennsylvania,Wexford,4,10,1642.63,,
California,Moorpark,8,10,1595.1,LA,
New York,Armonk,7,10,1551.05,NYC,
California,Santa Ynez,9,10,1491.71,,
Massachusetts,Belmont,8,10,1457.26,,
California,Carmel,10,10,1455.14,,
California,Rancho Cucamonga,6,10,1449.57,LA,
Texas,Pearland,7,10,1449.33,,
New Jersey,jersey city,3,10,1431.41,NYC,
New York,Yonkers,8,10,1430.06,NYC,
California,LONG BEACH,4,10,1425.7,LA,
South Carolina,Bluffton,7,10,1421.44,,
California,Moraga,6,10,1404.33,SF,
Minnesota,Jordan,1,10,1396.5,,
New York,Newburgh,5,10,1388.63,NYC,
Maine,Cape Neddick,2,10,1378.28,,
Mississippi,Southaven,1,10,1355.8,,
Florida,Palm Beach,5,10,1350.79,,
Mississippi,Ridgeland,2,10,1332.96,,
California,Cupertino,9,10,1321.95,SF,
Minnesota,Maple Grove,8,10,1305.33,,
New York,Jackson Heights,9,10,1287.12,NYC,
Florida,Davie,6,10,1282.45,,-----------------------
Massachusetts,Wayland,4,10,1278.04,,
Connecticut,Litchfield,4,10,1273.01,,
California,Camarillo,6,10,1266.03,LA,
Massachusetts,Chatham,5,10,1264.81,,
Texas,El Paso,8,10,1257.21,,
Michigan,East Lansing,8,10,1255.41,,
California,Glendora,8,10,1251.08,LA,
Florida,Fernandina Beach,6,10,1246.46,,
Colorado,Carbondale,9,10,1234.34,,
California,Ukiah,8,10,1226.65,,
Oregon,Sherwood,5,10,1215.78,,
Maine,Falmouth,8,10,1188.51,,
California,Fairfax,7,10,1188.33,SF,
California,Monterey,10,10,1182,,
California,Half Moon Bay,6,10,1180.55,,
Maine,Brunswick,6,10,1179.98,,
Oregon,Albany,5,10,1163.95,,
North Carolina,Greenville,4,10,1156.14,,
Vermont,Hinesburg,7,10,1140.78,,
Utah,Herriman,7,10,1132.45,,
Utah,Alpine,4,10,1125.16,,
Florida,Ponte Vedra Beach,8,10,1103.43,,
Texas,Round Rock,6,10,1099.2,,
New Jersey,Union,5,10,1026.25,,
Texas,SAN ANTONIO,3,10,1023.53,,
California,oakland,7,10,1008.87,SF,
Minnesota,St. Louis Park,7,10,984.65,,
South Carolina,Columbia,9,10,933.29,,
Connecticut,Groton,4,10,872.26,,
Rhode Island,Newport,9,10,777.28,,
Massachusetts,Greenfield,4,10,612.6,,
New York,Oyster Bay,3,9,3103.34,NYC,
Texas,Richardson,7,9,2708.4,,
Ontario,Hamilton,6,9,2461.4,,
California,Union City,7,9,2381.55,SF,
California,El Sobrante,4,9,2380.68,SF,
Florida,Brooksville,2,9,2315.03,,
New Jersey,Englewood,8,9,2109.51,NYC,
California,Tiburon,8,9,1962.67,SF,
New Jersey,Pennington,4,9,1933.21,NYC,
California,pasadena,4,9,1915.54,LA,
Hawaii,Haiku-Pauwela,5,9,1856.02,,
Pennsylvania,Kennett Square,5,9,1798.1,,
New York,NY,5,9,1796.16,NYC,
Utah,North Salt Lake,3,9,1754.67,,
New Hampshire,Deerfield,2,9,1708.1,,
California,SAN LEANDRO,1,9,1706.61,SF,
Nevada,North Las Vegas,6,9,1665.6,,
Ohio,Avon Lake,4,9,1643.12,,
Massachusetts,Hopkinton,2,9,1605.5,,
New Jersey,Wayne,7,9,1576.48,NYC,
Washington,Auburn,8,9,1551.11,,
California,Cameron Park,3,9,1532.37,,
Wisconsin,Platteville,2,9,1509.05,,
California,Carmichael,6,9,1491.64,SF,
California,Fairfield,4,9,1448.55,SF,
Georgia,Lawrenceville,7,9,1438.79,,
New Jersey,Livingston,6,9,1430.15,NYC,
North Carolina,Huntersville,6,9,1428.7,,
Connecticut,Guilford,6,9,1416.62,,
New York,Centerport,7,9,1375.42,NYC,
Massachusetts,Sudbury,6,9,1373.75,,
New Jersey,Boonton,4,9,1367.76,NYC,
New York,Mount Kisco,8,9,1356.71,NYC,
New York,Sag Harbor,8,9,1355.66,,
Colorado,Avon,4,9,1345.31,,
Ohio,Dublin,7,9,1344.25,,
North Carolina,Hillsborough,5,9,1335.59,,
California,Sierra Madre,7,9,1330.24,LA,
California,Placentia,5,9,1321.39,LA,
Colorado,Louisville,6,9,1315.77,,
Florida,Clearwater,8,9,1310.72,,
California,Auburn,6,9,1292.99,,
California,Woodacre,8,9,1283.64,SF,
New Jersey,South Orange,6,9,1266.55,NYC,
New York,Rego Park,2,9,1263.63,NYC,
California,Hacienda Heights,4,9,1257.8,LA,
Delaware,Lewes,7,9,1243.81,,
California,Kensington,5,9,1236.29,SF,
Hawaii,Makawao,7,9,1230.55,,
California,Vallejo,8,9,1228.34,SF,
Colorado,Johnstown,2,9,1204.92,,
Texas,HOUSTON,6,9,1193.41,,
England,London,9,9,1191.68,,
Illinois,Glenview,8,9,1173.48,CHI,
Massachusetts,Acton,8,9,1171.41,,
Oregon,West Linn,7,9,1168.12,,
Oregon,Sisters,7,9,1166.86,,
California,San Leandro,7,9,1162.09,SF,
Florida,Stuart,4,9,1158,,
New Hampshire,Hanover,5,9,1144.07,,
Michigan,Holland,7,9,1141.06,,
California,Lake Elsinore,5,9,1134.09,LA,
Michigan,Ferndale,7,9,1125.3,,
North Carolina,Mooresville,6,9,1125.01,,
Virginia,Stafford,5,9,1111.7,,
Texas,McKinney,9,9,1099.15,,
Iowa,Ankeny,3,9,1098.15,,
Georgia,Gainesville,7,9,1084.98,,
California,Fort Bragg,3,9,1077.33,,
North Dakota,Fargo,8,9,1076.69,,
California,South Lake Tahoe,6,9,1029.72,,
Texas,Katy,7,9,1001.36,,
Alaska,Fairbanks,6,9,992.41,,
Arizona,Sedona,7,9,986.06,,
Washington,Mercer island,1,9,974,,
Washington,Mill Creek,5,9,968.21,,
Virginia,Mechanicsville,5,9,967.14,,
Pennsylvania,Danville,6,9,946.71,,
Washington,seattle,7,9,940.13,,
England,North Shields,1,9,936.2,,
Massachusetts,Shrewsbury,6,9,933.8,,
Washington,Sumner,5,9,925.85,,
Texas,Roanoke,3,9,925.67,,
Florida,Plantation,6,9,910.56,,
Armed Forces Europe,DPO,4,9,901.01,,
Texas,Denton,6,9,896.73,,
Nevada,LAS VEGAS,4,9,889.39,,
California,Hopland,4,9,857.11,,
California,Bay Point,2,9,824.7,SF,
Texas,montgomery,1,9,784.65,,
Oregon,portland,5,9,771.84,,
Ohio,Massillon,1,9,734.77,,
California,Pismo Beach,5,9,678.08,,
California,Loomis,4,9,652.84,,
California,CHICO,3,9,637.17,,
New York,Peekskill,4,9,573.83,NYC,
Rhode Island,NEWPORT,3,9,430.45,,
Dubai,Dubai,8,8,2761.16,,
Connecticut,Warren,4,8,2759.34,,
Unknown Province,Mels,2,8,2705.55,,
New York,Montauk,6,8,2296.79,,
Washington,Underwood,1,8,2082.16,,
Texas,Forney,2,8,2040.84,,
Florida,Key Biscayne,7,8,1880.1,,
Michigan,West Bloomfield,5,8,1873.51,,
Florida,Ocala,5,8,1870.2,,
Hawaii,Kalaheo,7,8,1848.31,,
Wisconsin,Wausau,7,8,1709.24,,
Quebec,Montreal,7,8,1695.19,,
Massachusetts,Sandwich,6,8,1691.49,,
Alberta,Edmonton,7,8,1689.82,,
Washington,Spokane Valley,6,8,1685.86,,
Texas,Dripping Springs,5,8,1675.19,,
Nevada,Zephyr Cove,4,8,1655.38,,
Massachusetts,Haydenville,1,8,1634.47,,
Virginia,Annandale,4,8,1623.49,,
Idaho,Victor,4,8,1609.15,,
Idaho,Sandpoint,5,8,1601.25,,
California,Gilroy,4,8,1600.32,SF,
California,Pinole,7,8,1510.13,SF,
Illinois,Downers Grove,7,8,1506.27,CHI,
California,San Pedro,6,8,1500.94,LA,
California,Baldwin Park,5,8,1495.24,LA,
Ohio,Marion,2,8,1495.21,,
Maine,Dover-Foxcroft,1,8,1494.1,,
Michigan,Livonia,6,8,1481.86,,
New Hampshire,Dover,5,8,1472.28,,
New Jersey,Lambertville,6,8,1463.25,NYC,
Pennsylvania,Chalfont,2,8,1454.65,,
North Carolina,Waynesville,7,8,1451.96,,
Texas,Bee Cave,3,8,1443.02,,
Illinois,East Peoria,2,8,1441.17,,
New York,Garden City,7,8,1422.22,NYC,
New Jersey,Oceanport,4,8,1420.25,NYC,
California,Morro Bay,5,8,1417.93,,
Ontario,London,6,8,1394.48,,
Virginia,ALEXANDRIA,6,8,1394.39,,
Illinois,Lombard,4,8,1387.5,CHI,
Colorado,Vail,4,8,1384.94,,
Rhode Island,Slatersville,2,8,1371.2,,
Saskatchewan,Saskatoon,7,8,1362.46,,
Ohio,Westlake,7,8,1352.74,,
Illinois,Kenilworth,2,8,1347.72,CHI,
Virginia,Bridgewater,1,8,1346.33,,
West Virginia,Morgantown,7,8,1339.9,,
California,Trabuco Canyon,8,8,1328.95,LA,
